Species,Family,RedlistCategory,Threat,LogRangeSize,LogBodyMass,Diet,Foraging,Migration,MatingSystem,NestPlacement,Territoriality,Habitat,IslandDwelling,LogClutchSize,LogNightLights,LogHumanPopulationDensity
Acrocephalus_kerearako,Acrocephalidae,NT,0,4.239886868,3.113515309,Invertebrates,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,strong,Terrestrial,Yes,1.25846099,0.611690885,0
Acrocephalus_luscinius,Acrocephalidae,EX,1,4.960744524,3.419364686,Invertebrates,GroundForaging,Sedentary,NonCooperative,ExposedElevated,strong,Wetland,Yes,1.25846099,2.25374578,0
Acrocephalus_melanopogon,Acrocephalidae,LC,0,14.56851896,2.388762789,Invertebrates,ArborealGleaning,Migratory,Cooperative,Cavity,weak,Wetland,No,1.386294361,1.275884814,4.016383021
Acrocephalus_mendanae,Acrocephalidae,LC,0,6.594823772,3.440738556,Invertebrates,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,strong,Terrestrial,Yes,1.25846099,0.727427153,0
Acrocephalus_newtoni,Acrocephalidae,LC,0,13.289775,2.833213344,Invertebrates,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,strong,Wetland,No,1.098612289,0.911406817,3.335769576
Acrocephalus_orinus,Acrocephalidae,DD,0,10.01879196,3.186352633,Invertebrates,ArborealGleaning,Migratory,NonCooperative,ExposedElevated,weak,Wetland,No,1.25846099,0.611690885,2.939161922
Acrocephalus_paludicola,Acrocephalidae,VU,1,12.1147876,2.451005098,Invertebrates,ArborealGleaning,Migratory,NonCooperative,ExposedElevated,weak,Wetland,No,1.609437912,1.446666843,4.192680463
Acrocephalus_palustris,Acrocephalidae,LC,0,15.60726504,2.442347035,Invertebrates,ArborealGleaning,Migratory,NonCooperative,ExposedElevated,weak,Terrestrial,No,1.386294361,1.487055627,4.401829262
Acrocephalus_rehsei,Acrocephalidae,VU,1,2.90690106,2.998727783,Invertebrates,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,strong,Terrestrial,Yes,1.25846099,1.557861425,0
Acrocephalus_rimatarae,Acrocephalidae,VU,1,1.458615023,3.277144733,Invertebrates,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,strong,Wetland,Yes,1.25846099,0.622332977,0
Acrocephalus_rodericanus,Acrocephalidae,NT,0,0.993251773,2.468099531,Invertebrates,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,strong,Terrestrial,Yes,1.25846099,0,0
Acrocephalus_rufescens,Acrocephalidae,LC,0,14.14680183,3.123245594,Invertebrates,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,strong,Wetland,No,0.916290732,1.128180928,4.651099118
Acrocephalus_schoenobaenus,Acrocephalidae,LC,0,16.29793507,2.470638678,Invertebrates,ArborealGleaning,Migratory,NonCooperative,ExposedElevated,weak,Wetland,No,1.704748092,1.313875051,3.686376324
Acrocephalus_scirpaceus,Acrocephalidae,LC,0,16.52642463,2.509599262,Invertebrates,ArborealGleaning,Migratory,NonCooperative,ExposedElevated,weak,Wetland,No,1.386294361,1.38031007,4.225372825
Acrocephalus_sechellensis,Acrocephalidae,NT,0,0.693147181,2.764430535,Invertebrates,ArborealGleaning,Sedentary,Cooperative,ExposedElevated,strong,Terrestrial,Yes,0.405465108,0,0
Acrocephalus_stentoreus,Acrocephalidae,LC,0,15.51275805,3.186352633,Invertebrates,ArborealGleaning,PartiallyMigratory,NonCooperative,ExposedElevated,weak,Wetland,No,1.504077397,1.227457501,4.803201036
Acrocephalus_syrinx,Acrocephalidae,LC,0,6.331857658,2.998727783,Invertebrates,GroundForaging,Sedentary,NonCooperative,ExposedElevated,strong,Terrestrial,Yes,1.25846099,1.119373221,0
Acrocephalus_taiti,Acrocephalidae,VU,1,3.716008122,3.188416617,Invertebrates,ArborealGleaning,Sedentary,Cooperative,ExposedElevated,strong,Terrestrial,Yes,1.25846099,0.642114135,0
Acrocephalus_tangorum,Acrocephalidae,VU,1,13.10458874,2.796671393,Invertebrates,ArborealGleaning,Migratory,NonCooperative,ExposedElevated,weak,Wetland,No,1.25846099,1.035558076,3.440418095
Acrocephalus_vaughani,Acrocephalidae,EN,1,1.568615918,3.193352868,Invertebrates,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,strong,Terrestrial,Yes,1.25846099,0,0
