"","Enclosed","Dome","Cavity","Open","Egg","Ground","Cooperative","Clutch","Migration","pred","tmean","dtr","hurs","rsds","vpd","precp","wind","Order"
"Podiceps_taczanowskii",0,0,0,1,3.05199510670347,0,0,0.693147181,1,20,5.34041547775269,10.2312459945679,64.8750152587891,21.6039543151855,313.700408935547,98.5578308105469,2.3660101890564,"Podicipediformes"
"Podilymbus_podiceps",0,0,0,1,3.04690056012839,0,0,1.704748092,2,56.656462179869,15.5139053368531,10.3949324046891,56.7895860539539,20.0608939641029,856.107852112871,88.2737350401856,3.84855074675755,"Podicipediformes"
"Podoces_biddulphi",0,0,0,1,1.96277472430435,1,0,0.693147181,2,24.8267022696929,18.8342609318936,13.2458113462807,37.0550776289366,23.9530542534088,1479.28377648062,4.97241225376307,3.96376718459365,"Passeriformes"
"Podoces_hendersoni",0,0,0,1,1.70474809223843,0,0,1.387667045,2,35.9407008086253,5.58068461531417,12.3247525788382,44.273237048455,23.1518744702609,600.276140362105,14.5831538731197,4.9782813543258,"Passeriformes"
"Podoces_panderi",1,1,0,0,1.7227665977411,1,0,1.504077397,2,47.4829268292683,20.0942427317301,12.42791321297,44.8131764605763,22.4609606114829,1490.06387949378,15.77473998031,5.0345927300492,"Passeriformes"
"Podoces_pleskei",1,1,0,1,1.83086510973509,0,0,1.609437912,2,38.3347241539175,21.8881751738271,13.3674023667584,38.7982045166129,25.4137456581777,1784.52422187391,14.7526159341765,4.03787947413984,"Passeriformes"
"Poecilodryas_placens",0,0,0,1,1.15617383472083,0,0,0.740400065,1,47.5872093023256,22.1233652026154,6.37552113311235,71.6567577095919,15.8175590592761,763.793198696403,367.142898293429,1.11996451505395,"Passeriformes"
"Poecilodryas_superciliosa",0,0,0,1,0.712949807856125,0,0,0.693147181,1,56.6240070609003,25.7457351836081,8.03606519337155,59.5930174636504,19.773985599272,1347.52184681501,124.464935514849,3.00597807146865,"Passeriformes"
"Poecilotriccus_capitalis",1,1,0,0,0.31479996167976,0,0,0.99889426,1,159.871962425975,24.7883034772914,6.70672358808309,69.7407939405326,16.3371867549305,949.314569686319,234.620369030744,0.812519090502316,"Passeriformes"
"Poecilotriccus_fumifrons",1,1,0,0,0.205929769440055,0,0,0.99889426,1,165.121507045617,25.9487143846352,7.72343549029139,64.3802737167009,17.7451736617834,1205.87465907703,175.962828229599,1.5206860813586,"Passeriformes"
"Poecilotriccus_latirostris",1,1,0,0,0.323127142789403,0,0,0.99889426,1,163.545824491324,25.0971387495784,7.61082726117749,66.4145574312326,17.1473380550584,1071.45157050291,186.371342243123,1.37222137902578,"Passeriformes"
"Poecilotriccus_luluae",1,1,0,0,0.253425547521927,0,0,0.99889426,1,99.5,14.6264233589172,7.41593456268311,71.6272392272949,17.0031223297119,474.943817138672,145.170845031738,1.51341611146927,"Passeriformes"
"Poecilotriccus_plumbeiceps",1,1,0,0,0.0848772197953492,0,0,0.916290732,1,142.932195571956,20.6925210485379,8.82065727091583,62.4470115680096,18.1510258985621,935.947488675698,144.858545813173,2.71170348007356,"Passeriformes"
"Poecilotriccus_ruficeps",1,1,0,0,0.397300744206154,0,0,0.99889426,1,98.7885714285714,14.6913722814832,7.49867152690887,68.5506779425485,16.585923273904,538.450626395089,226.001972547259,1.65592456919806,"Passeriformes"
"Poecilotriccus_sylvia",1,1,0,0,0.300104592450338,0,0,0.693147181,1,117.068331624432,25.7138307405737,7.60228053043087,64.0705122226186,17.9971046513409,1209.54074486699,175.588111766526,1.99025974121374,"Passeriformes"
"Poeoptera_kenricki",1,0,1,0,1.39690027233032,0,0,1.240786777,1,125.139158576052,19.9626586398646,9.35692376534916,62.1658755305516,19.7772669591564,904.811242211598,93.5764591161487,2.44939809487861,"Passeriformes"
"Poeoptera_lugubris",1,0,1,0,1.06471073699243,0,0,1.098612289,1,153.423641703377,22.0696634791146,8.57882319813083,67.0305963311776,17.7702874003003,880.714523337836,172.127173584813,1.15278909371813,"Passeriformes"
"Poeoptera_stuhlmanni",1,0,1,0,1.32357972236385,0,0,1.240786777,1,137.568134171908,18.3553952371049,9.22330900908016,61.824113705873,18.9410764586251,822.05986378028,183.195196899478,1.70309045967066,"Passeriformes"
"Poephila_acuticauda",1,1,0,0,0.148420005118273,0,0,1.704748092,2,50.0820430681616,26.6296300434901,11.2282961970823,52.2567847775149,21.3991140683662,1672.0788278113,84.0048308548161,2.96179495833272,"Passeriformes"
"Poephila_cincta",1,1,1,0,0.262364264467491,0,0,1.386294361,2,49.5991445157348,25.2808129339454,10.2032839958361,55.0635192817481,20.5456946990995,1470.62406668239,84.7264617281225,3.12919651686216,"Passeriformes"
"Poephila_personata",1,1,1,0,0.182763226743421,0,0,1.504077397,2,50.3108872636953,26.3968253345576,10.8705018897443,53.5348935443746,21.1055686948578,1609.02008892116,88.5708551060764,2.95433842611096,"Passeriformes"
"Pogoniulus_atroflavus",1,0,1,0,0.78845736036427,0,0,0.916290732,1,132.256359950298,24.4678495496416,7.94016617511208,66.9482275163455,17.4122856909263,1021.19969840546,153.872954650434,1.32049848881372,"Piciformes"
"Pogoniulus_bilineatus",1,0,1,0,0.51581316527703,0,0,1.098612289,1,123.817374978665,24.0390221984594,8.86256399790801,62.5966261908826,18.5174111302185,1133.87321979847,127.352332693557,1.73382171225545,"Piciformes"
"Pogoniulus_chrysoconus",1,0,1,0,0.405465108108164,0,0,0.916290732,1,107.366243414674,24.5662369742069,11.0107433845308,53.5770350892519,20.516918145009,1492.36618134643,87.644972535647,2.45756372301454,"Piciformes"
"Pogoniulus_coryphaeus",1,0,1,0,0.336472236621213,0,0,1.098612289,1,134.636991028295,19.9726105065408,10.4606499708135,60.0366426524497,19.4923106181037,947.240720697565,169.098608041978,1.67506607575117,"Piciformes"
"Pogoniulus_leucomystax",1,0,1,0,0.500990106655473,0,0,0.916290732,1,124.229508196721,21.5460834672819,9.93009012320086,58.5597549693943,20.4722943986215,1099.44277816788,78.0167960402107,2.57989526056936,"Piciformes"
"Pogoniulus_pusillus",1,0,1,0,0.741937344729377,0,0,1.098612289,1,91.0577948389849,23.5730050041213,10.2492859122239,55.6738498364768,20.589538240748,1342.25069265075,64.9825985971151,2.90691622149642,"Piciformes"
"Pogoniulus_scolopaceus",1,0,1,0,0.587786664902119,0,1,1.098612289,1,134.370487590875,24.4530748120225,8.03984390057607,66.5708062007452,17.5066536604895,1032.33613785337,151.457710404419,1.32213447982804,"Piciformes"
"Pogoniulus_simplex",1,0,1,0,0.262364264467491,0,0,1.117480773,1,107.429869524697,24.0404723990441,9.20217246089377,60.5348022857339,19.4162306554497,1187.17077884159,79.299798272196,2.26311235332589,"Piciformes"
"Pogoniulus_subsulphureus",1,0,1,0,0.455023309959545,0,0,0.916290732,1,135.008333333333,24.4494577417423,7.93716829722957,66.8150371796426,17.4397932065909,1024.67248566426,153.268780111988,1.32331885196626,"Piciformes"
"Pogonocichla_stellata",1,1,0,0,1.11514159061932,1,0,0.916290732,1,119.297054597701,21.7840550996335,9.81199337490674,59.0749720472029,19.9005682950276,1098.00337464417,93.406000908193,2.49914787631211,"Passeriformes"
