"","pred","tmean","dtr","hurs","rsds","vpd","precp","wind"
"Telacanthura_ussheri",125.841083568664,24.8150773883377,9.15450971358217,61.0528473928974,18.6818659358987,1248.33854661536,115.445138831668,1.97655706988158
"Teledromas_fuscus",44.3686984417965,17.4404376570637,12.8361532838928,48.2123055619783,24.1372669178013,1096.48995829721,30.2585850793435,4.27539515738417
"Telophorus_dohertyi",134.63202247191,17.2747295384996,8.99660505605548,61.1844483386265,18.9724815829416,778.71154099368,167.639385844884,2.13386781697863
"Telophorus_viridis",116.13752703677,23.4472088679704,10.0341065744745,59.3364515950891,19.19250761182,1183.61026692958,87.503393705749,2.25266415667173
"Telophorus_zeylonus",70.3139411138702,20.6288200493779,14.5690817149576,47.441546674568,25.7040808868138,1312.22685616809,20.8925925184539,3.67067567995145
"Temnotrogon_roseigaster",16.7244897959184,19.6937343636338,7.9702834693753,64.5096304368,19.6230779959231,829.494111353037,143.082409605688,2.12035026112381
"Temnurus_temnurus",127.62319615179,22.3865393776743,7.19790224618672,66.4557408261975,15.08200014829,933.13316377021,181.78815770111,2.5474790762861
"Tephrodornis_affinis",65.3660130718954,26.8654778798421,6.93362515268762,63.4276828391879,19.3106682181099,1307.18307382089,140.797076173338,3.18881378636121
"Tephrodornis_pondicerianus",93.0066924206975,25.3273118295311,10.0842558650471,57.3957936339698,19.2920650413372,1437.97468434971,148.782217125592,2.41000325795784
"Tephrodornis_sylvicola",100.711649365629,24.505175186826,8.31223165562684,64.4051383699375,18.3706245774354,1112.42610212456,251.48639645516,2.53447948263866
"Tephrodornis_virgatus",126.157646922048,23.8669122987685,7.82402431037006,65.3355765933388,16.6655023492284,1045.94030747261,229.295907008872,1.92493139051101
"Tephrophilus_wetmorei",83.6730769230769,10.5793931392523,7.27482313376207,69.8520086728609,16.5169894511883,390.284075810359,191.956637602586,2.56791080190585
"Tephrozosterops_stalkeri",21.36,21.7626682281494,5.71200347900391,72.3946429443359,15.7481095123291,722.033586425781,350.834643554687,1.57626753091812
"Terathopius_ecaudatus",98.8133551876268,24.5874901377572,11.0441290792118,53.3356224731259,20.7175395191209,1499.33609792392,77.1864495527611,2.63314690354048
"Terenotriccus_erythrurus",165.134054054054,25.1735201746951,7.20854177477217,67.964584818809,16.8641277088056,1032.40503375127,209.550543027311,1.12094203324772
"Terenura_maculata",165.394576105546,20.9196812971979,8.49522602520273,63.2639322129433,17.9146329545171,923.512032187075,149.204603961765,2.6080868330236
"Terenura_sicki",108,24.3674430847168,6.85335350036621,66.0713272094727,18.8306903839111,1041.716796875,141.133773803711,2.75711965560913
"Teretistris_fernandinae",14.3904109589041,24.9877784807388,6.04660367312497,61.7834326600375,19.5645812439592,1211.72734425166,115.137772338031,2.77841662299143
